legislation_id,step1,step2,step3,step4,step5,step6
australia_modern_slavery_2018,政策：在指南中提及；管理体系：在指南中提及；商业关系：在指南中提及,范围：指南提及初步范围界定（强制性标准第3条）；评估：披露运营和供应链中现代奴役做法的风险；优先级：指南提及优先级排序（强制性标准第4条）,预防/减缓：描述为解决风险所采取的行动（第2部分，第16条d项）；参与框架：指南解释现代奴役做法风险是指实体造成、促成或直接关联现代奴役的可能性,跟踪：披露报告实体如何评估其行动的有效性（第2部分，第16条e项）,披露要求：向政府公共登记处提交经管理机构批准的年度报告（第12条、第18条）,补救措施：描述所采取的行动，包括补救过程（第2部分，第16条d项）；申诉机制：指南提及申诉机制（强制性标准第4条）
canada_forced_labour_2023,政策：披露与强迫劳动相关的政策和尽职调查流程（第11条第3款）；管理体系：在指南中提及；商业关系：未明确说明,范围：未明确说明；评估：披露其业务和供应链中存在强迫劳动或童工风险的部分，以及为评估风险所采取的步骤（第11条第3款c项）；优先级：未明确说明,预防/减缓：披露为管理风险所采取的步骤（第11条第3款c项）；参与框架：未明确说明,跟踪：披露实体如何评估其行动的有效性（第11条第3款g项）,披露要求：在网站上发布经管理机构批准的年度报告，并提交给政府登记处（第11条、第13条、第22条）,补救措施：披露为补救强迫劳动或童工所采取的措施；申诉机制：指南提及跟踪申诉机制案件（强制性信息，要求G）
eu_ai_act_2024,政策：通过风险管理计划间接要求（第34条）；管理体系：建立监控和风险管理系统（第32条）；商业关系：未明确说明,范围：对于高风险人工智能系统，识别和分析合理可预见的风险（第9条）；评估：对于高风险人工智能系统，估算和评估在使用过程中及合理可预见的误用中可能出现的风险；优先级：对于高风险人工智能系统，重点关注合理可预见的风险（第9条第2款）,预防/减缓：对于高风险人工智能系统，采取适当且有针对性的风险管理措施（第9条第2款d项、第4条）；参与框架：未明确说明,跟踪：跟踪、记录相关信息并酌情向人工智能办公室报告（第55条第1款c项）,披露要求：透明度要求及向部署者提供信息（第13条）；起草并维护模型的技术文档；向人工智能办公室报告相关信息（第53条第1款a项；第55条第1款c项）,补救措施：未明确说明；申诉机制：未明确说明
eu_batteries_2023,政策：要求制定政策（第48条）；管理体系：要求将监督职责分配给最高管理层（第49条第1款）；商业关系：将政策、风险措施纳入合同和协议（第49条）,范围：未明确说明；评估：识别和评估供应链中不利影响的风险，参考附件中列出的风险（第50条第1款）；优先级：未明确说明,预防/减缓：设计并实施战略（包括风险管理计划），以预防、减缓或以其他方式解决不利影响（第50条第1款）；参与框架：未明确说明“直接关联”的情形，但可通过尽职调查定义（包括供应链中供应商的风险，以及提及诱导、间接影响和累积环境与人权影响）推断得出（第3条第1款第42项；脱离：规定在减缓尝试失败后，可临时暂停或终止关系（第50条第2款b项第iii目）,跟踪：要求监控和跟踪风险减缓措施的执行情况（第50条第1款b项第iii目）,披露要求：发布年度尽职调查报告，说明所涉及的电池、为遵守法规尽职调查要求所采取步骤的数据和信息、核查报告摘要以及其他相关信息（如适用）（第52条第3款）,补救措施：当公司造成或共同造成不利影响时，必须提供补救；申诉机制：未明确说明
eu_conflict_minerals_2017,政策：采纳并传达政策（第4条a、b项）；管理体系：构建内部管理体系以支持供应链尽职调查（第4条c项）；商业关系：将政策纳入与供应商的合同和协议中（第4条d项）,范围：未明确说明；评估：识别和评估矿产供应链中不利影响的风险，遵循经合组织《关于来自受冲突影响和高风险区域的矿产的负责任供应链尽职调查指南》附件二（第5条）；优先级：未明确说明，但重点关注源自受冲突影响和高风险区域的矿产,预防/减缓：实施应对已识别风险的策略，以预防和减缓不利影响（第5条）；参与框架：未明确说明；脱离：规定在减缓努力期间临时暂停,跟踪：监控和跟踪风险减缓措施的执行情况,披露要求：公开报告供应链尽职调查政策和实践（第7条第3款）,补救措施：未明确说明；申诉机制：要求实体建立程序，允许列明的人员和实体在有“合理关切”时提交投诉（第14条第1款）
eu_csddd_2026,政策：将尽职调查纳入政策并制定尽职调查政策（第7条）；管理体系：将尽职调查纳入风险管理系统（第7条第1款）；商业关系：尽职调查政策应包括适用于直接和间接商业伙伴的行为准则（第7条第2款）,范围：涵盖自身运营、子公司运营，以及与业务伙伴的“活动链”相关的运营，以基于合理可得信息识别可能发生不利影响的一般领域（第8条第2款a项）；评估：根据范围界定的结果，在已确定最可能和最严重不利影响的领域进行深入评估（第8条第2款b项）；优先级：基于严重性和可能性对不利影响进行优先级排序（第9条）,预防/减缓：采取适当措施预防和减缓潜在不利影响，终止实际不利影响，并尽量减少无法终止的影响的范围（第10条、第11条）；参与框架：涵盖仅由公司造成、共同造成或仅由业务伙伴造成的影响（第10条、第11条）；脱离：如果影响无法被预防或减缓，要求暂停业务关系，除非暂停的负面影响超过要解决的不利影响，并采取措施预防、终止暂停的影响，并向业务伙伴提供合理通知（第10条、第11条）,跟踪：至少每五年对识别和解决不利影响措施的实施情况、充分性和有效性进行定期评估,披露要求：在网站上发布年度声明；属于《企业可持续发展报告指令》范围内的实体免除此报告要求（第16条）,补救措施：当公司造成或共同造成不利影响时，必须提供补救；申诉机制：建立用于风险识别的预警机制
eu_csrd_2026,政策：明确要求：披露政策（欧洲可持续发展报告标准（ESRS）2）；管理体系：披露管理层和监管机构如何了解重大风险与影响（ESRS 2）；商业关系：未明确说明,范围：基于“双重重要性”视角，对全部可持续发展事项进行重要性评估，并涵盖整个价值链（ESRS 1）；评估：披露风险评估；优先级：对于影响重要性，披露实体如何基于严重性和可能性进行优先级排序（ESRS 2）、使用的标准及决策过程。高度严重的负面影响自动被视为重要,预防/减缓：披露为预防和减缓所采取的行动（包括行动计划）（ESRS 2）；参与框架：报告需考虑实体通过自身运营或因其商业关系而参与的负面影响,跟踪：披露与上一报告期相比，重大影响、风险和机遇的变化（ESRS 2）,披露要求：将可持续发展信息作为管理层报告的一部分提交给成员国的官方指定机制，并在网站上发布（第29g条第1款）,补救措施：要求描述为补救负面影响而制定的政策和采取的行动（ESRS 2）；申诉机制：要求披露是否设有针对自身员工、价值链工人、受影响社区、消费者和最终用户的申诉机制（ESRS S1-S4）
eu_deforestation_2023,政策：要求制定充分的政策（第11条第2款）；管理体系：要求实体建立充分的风险管控措施和程序；商业关系：未明确说明,范围：未明确说明；评估：根据信息和文件进行风险评估（第10条第1款）；优先级：未明确说明,预防/减缓：制定相称的政策、管控措施和程序以进行减缓（第11条）；参与框架：未明确说明，重点在于产品不存在毁林风险，而非实体与风险之间的关联,跟踪：要求每年审查风险评估、风险减缓措施及尽职调查系统,披露要求：每年公开报告尽职调查系统（第12条第3款）,补救措施：未明确说明；申诉机制：未明确说明
eu_dsa_2022,政策：中介服务提供商的条款和条件应包括关于内容审核所用政策、程序、措施和工具的信息；管理体系：建立具有权威、地位、资源和接触提供者管理层权限的合规职能（第41条）；商业关系：超大型在线平台和搜索引擎的提供者应向接收者提供条款和条件的简明摘要（第14条）,范围：未明确说明；评估：超大型在线平台和搜索引擎的提供者应识别、分析和评估系统性风险（第34条）；优先级：重点关注系统性风险，考虑严重性和可能性（第34条）,预防/减缓：超大型在线平台和搜索引擎的提供者应制定合理、相称且有效的减缓措施，并针对特定的系统性风险进行调整（第35条）；参与框架：未明确说明,跟踪：超大型在线平台需对其风险评估和减缓措施进行独立审计（第37条）,披露要求：提供者应至少每年公开发布一份全面的报告，说明其进行的任何内容审核活动（第15条、第42条）,补救措施：未在明确提及；申诉机制：要求提供申诉机制（包括补救），可通过直接提供、与其他运营者合作或协助诉诸外部机构来实现（第49条第1款f项）
eu_forced_labour_2024,禁止经济经营者在欧盟市场上投放、提供或从欧盟市场出口使用强迫劳动制造的产品（第1条第1款）；没有直接进行尽职调查的义务；在怀疑存在强迫劳动的初步调查阶段，可能会考虑尽职调查文件（第17条）；与强迫劳动相关的尽职调查被定义为包含“识别、预防、减缓或终止使用强迫劳动的做法”（第2条第3款）；计划制定关于尽职调查以及终止和补救强迫劳动最佳实践的指南（第11条）,,,,,
france_vigilance_2017,政策：未明确说明，但通过要求制定并实施警戒计划而隐含预期；管理体系：未明确说明，但通过要求制定并实施警戒计划而隐含预期；商业关系：未明确说明，但通过要求制定并实施警戒计划而隐含预期,范围：风险图谱，用于识别、分析和排列范围内的风险（第1条第4款第1项）；评估：根据风险图谱，定期评估子公司、分包商及存在稳定商业关系的供应商的状况（第1条第4款第2项）；优先级：受限于严重性或重大程度,预防/减缓：采取适当行动，以减缓风险或防止严重侵权（第1条第4款第3项）；参与框架：涉及直接或间接源于公司及其控制的公司的运营，以及存在稳定商业关系的分包商或供应商的运营所产生的风险（第1条第3款）,跟踪：建立监测机制，跟踪所采取措施的实施情况并评估其效率（第1条第4款第5项）,披露要求：警戒计划及实施报告需公开披露（第1条第5款）,补救措施：未明确说明，但司法执法可能导致提供补救；申诉机制：建立预警机制，收集关于现有或实际风险的报告（第1条第4款第4项）
germany_supply_chain_2023,政策：未在主要文本中明确要求，但通过尽职调查义务隐含预期；管理体系：指南中提及：在开始评估之前，先收集业务领域和供应链中商业关系的概况（第4.1节；商业关系：未明确要求，但通过尽职调查定义隐含预期,范围：进行适当且定期的风险分析（至少每年一次），以识别自身业务领域和直接供应商中与人权和环境相关的风险（第5条第1款）；评估：进行适当且定期的风险分析（至少每年一次），以识别自身业务领域和直接供应商中与人权和环境相关的风险（第5条第1款）；优先级：已识别的人权和环境相关风险必须进行权衡（分别针对自身业务领域和直接供应商），并适当排序（第5条第2款,预防/减缓：采取适当的预防措施和补救行动，以预防、终止或最大限度地减少违规行为；参与框架：适当行动取决于企业对风险的因果贡献性质（第3条第2款第4项）适当行动取决于企业对风险的因果贡献性质（第3条第2款第4项）；脱离：在减缓风险期间临时暂停,跟踪：补救行动的有效性必须每年审查一次，或在发生重大变化时临时审查（第7条第4款）,披露要求：年度尽职调查报告在网站上免费公开（第10条第2款）,补救措施：如果已发生或即将发生违规行为，采取适当的补救行动以预防、终止或最大限度地减少该违规行为的范围（第7条第1款）；申诉机制：任何人都有权从企业处获得关于企业如何处理实际和潜在负面影响的信息
norway_transparency_2021,政策：将负责任商业行为纳入政策（第4条a项）；管理体系：未明确要求，但通过尽职调查的定义隐含预期；商业关系：未明确要求，但通过尽职调查的定义隐含预期,范围：未明确说明；评估：识别和评估对基本人权和体面工作条件的实际和潜在负面影响（第4条b项）；优先级：根据企业的优先级排序和评估，实施适当措施以终止、预防或减缓负面影响（第4条c项）,预防/减缓：根据优先级排序和评估，实施适当措施以终止、预防或减缓负面影响（第4条c项）；参与框架：未明确说明,跟踪：跟踪措施的实施情况和结果（第4条d项）,披露要求：发布尽职调查说明（第5条）,补救措施：在需要时提供或合作进行补救和补偿（第4条f项）；申诉机制：未明确说明
south_korea_ai_2025,政策：通过风险管理计划间接要求（第34条）；管理体系：建立监控和风险管理系统（第32条）；商业关系：未明确说明,范围：对于高风险人工智能系统，识别和分析合理可预见的风险（第9条）；评估：对于高风险人工智能系统，估算和评估在使用过程中及合理可预见的误用中可能出现的风险；优先级：对于高风险人工智能系统，重点关注合理可预见的风险（第9条第2款）,预防/减缓：对于人工智能业务运营者，如果其人工智能系统达到指定的计算能力阈值，则需采取措施在人工智能生命周期的各个阶段识别、评估和减缓风险（第32条）；参与框架：未明确说明,跟踪：建立监控和风险管理系统（第32条）,披露要求：未明确说明,补救措施：未明确说明；申诉机制：未明确说明
swiss_due_diligence_2022,政策：要求制定政策（第10条、第11条）；管理体系：未明确说明；商业关系：将供应链政策纳入与供应商的合同和协议中（第10条、第11条）,范围：未明确说明；评估：识别供应链中的风险并在其风险管理计划中进行评估（第15条第1款）；优先级：根据不利影响发生的可能性和严重性评估风险（第15条第1款）,预防/减缓：应根据风险发生的可能性和不利影响的严重性，消除、预防或最小化供应链中的已识别风险（第15条第2款）；参与框架：未明确说明,跟踪：评估措施的结果,披露要求：为那些编制合并财务报表的实体准备一份合并报告（第17条）,补救措施：未明确说明；申诉机制：未明确说明
uae_gold_2022,政策：采纳黄金供应链政策（第1.1节）；管理体系：管理体系：建立内部治理体系以实施尽职调查（第1.2节）；商业关系：将政策纳入合同和协议，并加强公司 engagement（第1.4节）,范围：未明确说明；评估：识别和评估风险（第2.1节）；优先级：识别潜在警示信号，并对高风险要素进行强化尽职调查（第2.2节、第2.3节）,预防/减缓：未在摘要中明确提及（原文表A A.1中该栏内容被错误复制到了韩国AI基本法，实际应为：根据第3.2节等采取风险减缓措施；参与框架：未明确说明,跟踪：定期审查减缓措施的结果,披露要求：提交综合管理报告，包括披露管理体系、风险识别与评估以及风险管理的信息（第5节）,补救措施：未明确说明；申诉机制：实施申诉机制（第1.5节）
uk_environment_2021,政策：未明确说明；管理体系：未明确说明；商业关系：未明确说明,范围：识别并获取关于森林风险商品的信息（附件17，第1部分，第3条第2款）；评估：评估相关地方法规未得到遵守的风险（附件17，第1部分，第3条第2款）；优先级：未明确说明,预防/减缓：减缓与森林风险商品相关的风险（附件17，第1部分，第3条第2款）；参与框架：未明确说明,跟踪：准备一份年度报告，说明为实施尽职调查系统所采取的行动（附件17，第1部分，第4节）,披露要求：年度报告要求,补救措施：未明确说明；申诉机制：未明确说明
uk_modern_slavery_2015,政策：披露与现代奴役相关的政策和尽职调查流程 (第54条第5款)；管理体系：在指南中提及；商业关系：在指南中提及,范围：指南提及高层级风险评估，然后评估已识别的风险（第4.2节）；评估：披露尽职调查流程以及为评估风险所采取的步骤（第54条第5款）；优先级：指南提及基于严重性和可能性的优先级排序（第4.2节）,预防/减缓：披露尽职调查流程以及为管理风险所采取的步骤（第54条第5款c、d项）；参与框架：未明确说明,跟踪：披露如何通过绩效指标衡量确保不存在奴役和人口贩卖行为的有效性（第54条第5款f项）,披露要求：在网站上发布现代奴役和人口贩卖声明；如果机构没有网站，则向任何书面请求者提供声明副本（第54条第6-7款）,补救措施：指南提及披露补救政策和流程（第4.4节）；申诉机制：指南提及披露申诉机制（第4.4节）
us_dodd_frank_1502,政策：采用冲突矿产政策；管理体系：作为冲突矿产报告审计的一部分，审查管理体系和流程（第211页）；商业关系：未明确说明,范围：未明确说明；评估：披露为履行尽职调查和产销监管链所采取的措施；优先级：未明确说明，但重点关注经济合作与发展组织《关于来自受冲突影响和高风险区域的矿产的负责任供应链尽职调查指南》附件二所列风险，且针对刚果民主共和国及其邻国（涵盖国家）,预防/减缓：披露为履行尽职调查和产销监管链所采取的措施（第838页），针对“涵盖国家；参与框架：未明确说明,跟踪：未明确说明,披露要求：向美国证券交易委员会提交年度冲突矿产报告（第838页）,补救措施：未明确说明；申诉机制：未明确说明
us_tariff_307,禁止进口全部或部分由强迫劳动开采、生产或制造的货物、商品、物品和产品；并规定制定执行该条款的法规；没有直接进行尽职调查的义务；美国海关和边境保护局（CBP）的《扣留放行令和裁定修改指南》（2025[8]）阐述了一种识别、纠正和预防的方法，以应对强迫劳动问题,,,,,
us_uflpa_2021,确立了可反驳的推定：与新疆维吾尔自治区相关的货物进口，依据美国《关税法》第307条被禁止（第3条(a)款）；该推定可通过遵守官方指南、回应信息请求以及提供货物非强迫劳动生产的证据来推翻（第3条(b)款）；没有直接进行尽职调查的义务，但尽职调查被提及作为待制定指南的一部分（第2条(d)款第(6)项）；操作指南建议进行供应链图谱分析、评估强迫劳动风险、建立内部管控措施以预防或减缓强迫劳动，并对强迫劳动进行补救,,,,,
